"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/app/warehouse/analytics/page.tsx", "TypeScript JSX", 8, 2, 1, 11
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/app/warehouse/components/CategoryDistributionChart.tsx", "TypeScript JSX", 7, 0, 0, 7
"/Users/dog/WebstormProjects/diplom/mvp/frontend/src/app/warehouse/page.tsx", "TypeScript JSX", 11, 0, 0, 11
"Total", "-", 26, 2, 1, 29
